state,code
Andaman and Nicobar Islands,1
Andhra Pradesh,2
Arunachal Pradesh,3
Assam,4
Bihar,5
Chandigarh,6
Chhattisgarh,7
Dadra and Nagar Haveli and Daman and Diu,8
Delhi,9
Goa,10
Gujarat,11
Haryana,12
Himachal Pradesh,13
India,14
Jammu and Kashmir,15
Jharkhand,16
Karnataka,17
Kerala,18
Ladakh,19
Lakshadweep,20
Madhya Pradesh,21
Maharashtra,22
Manipur,23
Meghalaya,24
Mizoram,25
Nagaland,26
Odisha,27
Puducherry,28
Punjab,29
Rajasthan,30
Sikkim,31
Tamil Nadu,32
Telangana,33
Tripura,34
Uttar Pradesh,35
Uttarakhand,36
West Bengal,37
