"District","Date","Current Active Cases","Growth Rate(lamda-t)","Days to 50 Active cases per million population","Days to 1000 Active cases per million population","Days to 1500 Active cases per million population","Days to 0.2% of population Active cases","Population as on 2011","Projected Population-2020 ","Population-50 per million","Population-1000 per million","Population-1500 per million","0.2% of population"
"Bagalkot",2021-08-09,40,0.116139861999408,64,"250","275","293",1889752,2141784,107.0892,2141.784,3212.676,4283.568
"Ballari",2021-08-09,217,0.107442352031222,1,"360","415","453",2452595,3096512,154.8256,3096.512,4644.768,6193.024
"Belgaum",2021-08-09,435,0.0724141381192975,1,NA,NA,NA,4779661,5354714,267.7357,5354.714,8032.071,10709.428
"Bengaluru Rural",2021-08-09,350,0.072456521664355,1,NA,NA,NA,990923,1139694,56.9847,1139.694,1709.541,2279.388
"Bengaluru Urban",2021-08-09,8379,0.10066510450776,1,"733","1343","1775",9621551,13626081,681.30405,13626.081,20439.1215,27252.162
"Bidar",2021-08-09,16,0.0899659863945578,NA,NA,NA,NA,1703300,1903546,95.1773,1903.546,2855.319,3807.092
"Chamarajanagar",2021-08-09,313,0.112807687518218,1,"99","130","153",1020791,1076085,53.80425,1076.085,1614.1275,2152.17
"Chikkaballapur",2021-08-09,117,0.0671687199484719,1,NA,NA,NA,1255104,1364310,68.2155,1364.31,2046.465,2728.62
"Chikmagalur",2021-08-09,987,0.117423033981899,1,"10","33","50",1137961,1136558,56.8279,1136.558,1704.837,2273.116
"Chitradurga",2021-08-09,527,0.110061415633595,1,"124","165","194",1659456,1803209,90.16045,1803.209,2704.8135,3606.418
"Dakshina Kannada",2021-08-09,3326,0.123762976223721,1,"1","4","16",2089649,2335183,116.75915,2335.183,3502.7745,4670.366
"Davanagere",2021-08-09,200,0.030987119957684,1,NA,NA,NA,1945497,2102415,105.12075,2102.415,3153.6225,4204.83
"Dharwad",2021-08-09,132,0.0926618250363856,1,NA,NA,NA,1847023,2099469,104.97345,2099.469,3149.2035,4198.938
"Gadag",2021-08-09,31,0.113858355963619,48,"265","294","315",1064570,1157112,57.8556,1157.112,1735.668,2314.224
"Hassan",2021-08-09,1520,0.100206848431837,1,"928","2887","4278",1776421,1840223,92.01115,1840.223,2760.3345,3680.446
"Haveri",2021-08-09,18,-0.0155075600727775,NA,NA,NA,NA,1597668,1759087,87.95435,1759.087,2638.6305,3518.174
"Kalaburagi",2021-08-09,97,0.0872154932176513,NA,NA,NA,NA,2566326,2976434,148.8217,2976.434,4464.651,5952.868
"Kodagu",2021-08-09,762,0.118305370356075,1,"1","7","23",554519,560797,28.03985,560.797,841.1955,1121.594
"Kolar",2021-08-09,270,0.0966837604812725,1,NA,NA,NA,1536401,1695959,84.79795,1695.959,2543.9385,3391.918
"Koppal",2021-08-09,75,0.021421485260771,NA,NA,NA,NA,1389920,1594147,79.70735,1594.147,2391.2205,3188.294
"Mandya",2021-08-09,412,0.0979692423346651,1,NA,NA,NA,1805769,1851525,92.57625,1851.525,2777.2875,3703.05
"Mysuru",2021-08-09,1318,0.0910487152228522,1,NA,NA,NA,3001127,3374961,168.74805,3374.961,5062.4415,6749.922
"Raichur",2021-08-09,29,0.138578011849901,37,"116","126","134",1928812,2187486,109.3743,2187.486,3281.229,4374.972
"Ramanagar",2021-08-09,94,0.109791304014497,1,"258","299","329",1082636,1140574,57.0287,1140.574,1710.861,2281.148
"Shivamogga",2021-08-09,656,0.0692122733726932,1,NA,NA,NA,1752753,1864370,93.2185,1864.37,2796.555,3728.74
"Tumakuru",2021-08-09,897,0.0879636929540586,1,NA,NA,NA,2678980,2784099,139.20495,2784.099,4176.1485,5568.198
"Udupi",2021-08-09,1510,0.125790818377898,1,"1","12","23",1177361,1307243,65.36215,1307.243,1960.8645,2614.486
"Uttara Kannada",2021-08-09,556,0.120982059716225,1,"50","69","83",1437169,1516250,75.8125,1516.25,2274.375,3032.5
"Vijayapura",2021-08-09,45,0.0491605886668681,NA,NA,NA,NA,2177331,2571844,128.5922,2571.844,3857.766,5143.688
"Yadgir",2021-08-09,13,0.0817927170868347,NA,NA,NA,NA,1174271,1412445,70.62225,1412.445,2118.6675,2824.89
"Karnataka",2022-02-09,72414,-0.115296784908122,1,"---","---","---",61095297,70774116,3538.7058,70774.116,106161.174,141548.232
