"District","wave1","midwave","wave2"
"Bagalakote",131,5,235
"Ballari",537,60,1174
"Belagavi",330,9,658
"Bengaluru Rural",138,29,728
"Bengaluru Urban",3861,523,12528
"Bidar",165,8,241
"Chamarajanagara",124,7,408
"Chikkaballapura",108,7,338
"Chikkamagaluru",137,3,253
"Chitradurga",59,10,175
"Dakshina Kannada",677,59,1064
"Davanagere",255,7,357
"Dharwad",563,47,783
"Gadag",141,0,190
"Hassan",369,23,914
"Haveri",184,5,465
"Kalaburagi",310,16,559
"Kodagu",62,9,279
"Kolar",152,23,482
"Koppal",273,6,262
"Mandya",140,10,546
"Mysuru",955,68,1533
"Raichur",146,9,208
"Ramanagara",71,6,267
"Shivamogga",345,4,781
"Tumakuru",340,46,821
"Udupi",181,7,357
"Uttara Kannada",155,23,625
"Vijayapura",195,11,311
"Yadgiri",61,0,150
