State,Date,Total Active
Andhra Pradesh,2020-03-11,0
Andaman and Nicobar Islands,2020-03-12,1
Arunachal Pradesh,2020-03-13,1
Assam,2020-03-14,1
Bihar,2020-03-15,1
Chandigarh,2020-03-16,1
Chhattisgarh,2020-03-17,1
Dadra and Nagar Haveli,2020-03-18,1
Delhi,2020-03-19,2
Goa,2020-03-20,3
Gujarat,2020-03-21,3
Haryana,2020-03-22,5
Himachal Pradesh,2020-03-23,7
Jammu and Kashmir,2020-03-24,8
Jharkhand,2020-03-25,8
Karnataka,2020-03-26,10
Kerala,2020-03-27,13
Lakshadweep,2020-03-28,13
Ladakh,2020-03-29,18
Madhya Pradesh,2020-03-30,22
Maharashtra,2020-03-31,39
Manipur,2020-04-01,83
Meghalaya,2020-04-02,84
Mizoram,2020-04-03,130
Nagaland,2020-04-04,159
Odisha,2020-04-05,188
Puducherry,2020-04-06,222
Punjab,2020-04-07,262
Rajasthan,2020-04-08,296
Sikkim,2020-04-09,338
Tamil Nadu,2020-04-10,350
Telengana,2020-04-11,364
Tripura,2020-04-12,364
Uttarakhand,2020-04-13,414
Uttar Pradesh,2020-04-14,450
West Bengal,2020-04-15,478
